,Fear,Surprise,Happy,Sad,Angry
0,0.2835082214009528,0.31381022243307877,0.12632590428836427,0.21826841638736075,0.05808723549024355
1,0.31404351456455487,0.3089773698346779,0.11927690075173082,0.18451940697744082,0.07318280787159576
2,0.3149470511426713,0.2844340138167469,0.14955679419259466,0.16431344803189024,0.08674869281609689
3,0.3001006692004815,0.24539366125734002,0.1978596624033391,0.18052773791312487,0.0761182692257145
4,0.3081739738805969,0.24750174906716432,0.1679818680037314,0.19885727611940285,0.07748513292910446
5,0.24732907043051097,0.2693567144688638,0.21744641271832155,0.20341931907338087,0.062448483308922845
6,0.3067340500869118,0.26709731414698773,0.20548862671149662,0.17432604465414947,0.04635396440045439
7,0.26958349534806403,0.23751415867863607,0.16820228454858466,0.24551740460854418,0.07918265681617101
8,0.34749631697108657,0.24827139591873795,0.16507735854241665,0.19633979212542738,0.04281513644233146
9,0.30558694930647373,0.2051635872331842,0.2030110253430279,0.2353079913726772,0.050930446744637
10,0.29915983298300947,0.285746230124043,0.2035417928712856,0.14721421514618052,0.06433792887548129
11,0.3653288190284547,0.21351682443242564,0.1487276527663862,0.17787820673337168,0.09454849703936176
