,Fear,Angry,Happy,Surprise,Sad
0,0.36611794123775787,0.14579426269361673,0.0693199972216434,0.28394804473154134,0.13481975411544073
1,0.3280357142857143,0.05098214285714286,0.045,0.13303571428571428,0.4429464285714286
2,0.17032099631643574,0.04165935800736713,0.04358884406244518,0.6687423259077355,0.0756884757060165
3,0.5937071565670414,0.022004387167534965,0.07423910063065535,0.17754318618042225,0.13250616945434604
4,0.25456261799874136,0.06686595342983008,0.21806167400881055,0.1592196349905601,0.3012901195720579
5,0.3976151709606359,0.09228043290872523,0.115985058902404,0.11804424863518823,0.2760750885930467
6,0.3878130011101517,0.060976111179639,0.2359689157518194,0.1688664117429382,0.14637556021545167
7,0.26695437731196053,0.016124442758228205,0.1192734515792469,0.38162762022194824,0.21602010812861616
8,0.34256461899966434,0.13119615083361308,0.08201857446570439,0.2877363768602439,0.15648427884077432
9,0.23342725001329015,0.049970761788315346,0.06389878262718621,0.4191164744032746,0.23358673116793358
10,0.28853894811341624,0.12712876542663779,0.1730437475118326,0.2979165745123192,0.11337196443579421
11,0.44762919552477365,0.09350026638252532,0.1462972828982419,0.15050612679808203,0.1620671283963772
