,Fear,Surprise,Happy,Sad,Angry
0,0.23134631125662833,0.30377593508665807,0.23813658849069358,0.19681839211359833,0.02992277305242179
1,0.32587139855510466,0.22658521140949267,0.23902656650260484,0.17319316121233055,0.03532366232046744
2,0.2793111706506608,0.27128829948060884,0.14501788681165706,0.23514795910730593,0.06923468394976724
3,0.20048207008144162,0.2552487226485655,0.22075184133314535,0.23871868726542728,0.08479867867142017
4,0.3613855784063227,0.23634760960327822,0.17030273792294268,0.17752127741943172,0.054442796648024726
5,0.3081221124121462,0.27178332014259526,0.12399970236283324,0.23136554579215457,0.06472931929027065
6,0.28020556466662905,0.21297291183622685,0.1817918339648249,0.21326980715941862,0.1117598823729005
7,0.3273162070509949,0.2853349542517116,0.17941806897434265,0.17111619425427094,0.03681457546868002
8,0.20746079032682038,0.4008878763982592,0.14204562049125266,0.17066795175092736,0.07893776103274044
9,0.39867632867833147,0.25536660415490775,0.1578300529832675,0.13373268029787155,0.05439433388562169
10,0.2922849013567851,0.25736590871681525,0.1562850267673086,0.21096401501791023,0.08310014814118089
11,0.24460376490434388,0.19968306304233918,0.1015731830438728,0.4171491009469769,0.03699088806246727
