,Fear,Angry,Happy,Surprise,Sad,month_index,year,date
0,0.76,0.0,0.24,0.0,0.0,1,2011,2011-01-01
1,0.76,0.0,0.24,0.0,0.0,1,2011,2011-01-01
2,0.4849763033175356,0.04578199052132702,0.03056872037914692,0.2667772511848341,0.17189573459715635,1,2012,2012-01-01
3,0.2557692307692308,0.14769230769230768,0.09615384615384616,0.2751923076923077,0.2251923076923077,2,2012,2012-02-01
4,0.2341048930559625,0.0196308233225901,0.15558159976560212,0.40023439789041904,0.19044828596542634,3,2012,2012-03-01
5,0.2876190476190476,0.17666666666666667,0.10523809523809524,0.30952380952380953,0.12095238095238095,4,2012,2012-04-01
6,0.24461152882205514,0.0304093567251462,0.14803675856307433,0.2624895572263993,0.31445279866332504,5,2012,2012-05-01
7,0.2606860158311345,0.033509234828496035,0.09102902374670184,0.0963060686015831,0.5184696569920844,6,2012,2012-06-01
8,0.4336504757135704,0.03805708562844266,0.09864797195793693,0.22734101151727595,0.20230345518277415,7,2012,2012-07-01
9,0.47,0.4117647058823529,0.03,0.058235294117647066,0.03,8,2012,2012-08-01
10,0.4427272727272728,0.05272727272727274,0.07818181818181819,0.1827272727272727,0.24363636363636365,9,2012,2012-09-01
11,0.059821428571428574,0.05357142857142857,0.13660714285714287,0.05357142857142857,0.6964285714285714,10,2012,2012-10-01
12,0.4465333333333333,0.09853333333333336,0.15453333333333333,0.1216,0.1788,11,2012,2012-11-01
13,0.3896824674733873,0.05504503684833046,0.0807023928668911,0.26166863797652623,0.2129014648348649,12,2012,2012-12-01
14,0.2909989970377627,0.06351316679495253,0.22289086371375924,0.16189676486366705,0.2607002075898585,1,2013,2013-01-01
15,0.4173121849256117,0.06387556867084718,0.13986228943809176,0.19101192671830813,0.1879380302471413,2,2013,2013-02-01
16,0.4822618791657709,0.031329667966950275,0.1161654943637313,0.1892066222317781,0.18103633627176954,3,2013,2013-03-01
17,0.3261511346111478,0.17298964529632074,0.0726151134611148,0.2587354042740692,0.16950870235734744,4,2013,2013-04-01
18,0.4539887101927789,0.07130684843966342,0.1269038236233891,0.2399084034508468,0.10789221429332198,5,2013,2013-05-01
19,0.3818212422151153,0.08981652920383774,0.1255344218145093,0.2276384447062784,0.1751893620602592,6,2013,2013-06-01
20,0.3597935880544576,0.07136583223539747,0.12121212121212124,0.25362318840579706,0.19400527009222654,7,2013,2013-07-01
21,0.3404457410359917,0.07890362631025476,0.12222259913836968,0.2853217544692833,0.1731062790461006,8,2013,2013-08-01
22,0.3507158351409978,0.048112798264642084,0.1599132321041215,0.23544468546637745,0.2058134490238612,9,2013,2013-09-01
23,0.3219071135480591,0.06242056719561349,0.10261810523257923,0.28810051200116193,0.2249537020225861,10,2013,2013-10-01
24,0.2463778383931418,0.21329129618477452,0.12366715080236634,0.29969180629848746,0.11697190832122994,11,2013,2013-11-01
25,0.3150811505704644,0.039450425839627185,0.09842519685039368,0.2863570625100434,0.2606861642294713,12,2013,2013-12-01
26,0.36611794123775787,0.14579426269361673,0.0693199972216434,0.2839480447315413,0.13481975411544073,1,2014,2014-01-01
