,Fear,Surprise,Angry,Sad,Happy
0,0.22212602382783386,0.32455615482992795,0.049757694512980136,0.14247375327401213,0.2610863735552459
1,0.24684573459002065,0.26857177271221666,0.05723348088369622,0.22217370793058105,0.20517530388348545
2,0.23440887499113802,0.2278190522745334,0.055741093850867056,0.18718305602095597,0.29484792286250555
3,0.17627095526354894,0.27593555738467357,0.05898588790455401,0.17623212071671518,0.3125754787305084
4,0.25168339847868837,0.246813435800356,0.047679533896019165,0.19920010985615708,0.2546235219687793
5,0.22563084934829708,0.27177239530076897,0.04963546801850664,0.2209781042563962,0.23198318307603114
6,0.19604544616660735,0.22703363338914573,0.07781071905866423,0.1676285350005372,0.3314816663850455
7,0.25320517278953186,0.2871417509401067,0.061381667107160455,0.20633198403093686,0.19193942513226417
8,0.20879901629653166,0.2901225720306985,0.025789983698667446,0.125664963382009,0.34962346459209337
9,0.24959638636988202,0.2830254705963167,0.05734319181093708,0.20368104218191863,0.20635390904094567
10,0.21677620112956478,0.24097340463523848,0.1286607260115578,0.18554414989857326,0.2280455183250657
11,0.21161918703429736,0.31127887272451266,0.03261474459473713,0.20453133257707873,0.23995586306937422
