,Fear,Surprise,Angry,Sad,Happy
0,0.2825656326208089,0.28574542581163737,0.04731815642838659,0.20590455170910477,0.17846623343006232
1,0.25404738158116535,0.2916414985671744,0.03691282238579535,0.151749592627971,0.265648704837894
2,0.23304882296206342,0.3132334160891616,0.07183793848681862,0.19107442666285643,0.19080539579909972
3,0.21989773395227952,0.27329913743678735,0.03911648181637623,0.2092449536393382,0.25844169315521875
4,0.2142727335534122,0.2560091135468639,0.0980494786894996,0.15224339237814313,0.27942528183208126
5,0.31730679341634005,0.23252639482094747,0.050113642339220936,0.15683007987099107,0.24322308955250038
6,0.24158276204608717,0.3158061588648656,0.039784893489164974,0.15436283587397748,0.24846334972590475
7,0.2270808512844021,0.29738300589860367,0.07447442656064347,0.16473407688837524,0.2363276393679755
8,0.2736033093173771,0.27531024850409075,0.03379075589205029,0.177096562461839,0.24019912382464284
9,0.2566796261063777,0.27293407229712946,0.059868475473571006,0.20586897179253877,0.2046488543303831
10,0.27049692676320436,0.27291037260825785,0.058773483348959946,0.17798729034274413,0.21983192693683376
11,0.25168422051428047,0.2674194262580259,0.057500711642470795,0.21814213872283883,0.20525350286238406
