,Fear,Surprise,Happy,Sad,Angry,month_index,year,date
0,0.30457083889765685,0.296345756950346,0.11250050584759824,0.23294281898749544,0.053640079316903407,1,2011,2011-01-01
1,0.2543702443691812,0.3332624576644441,0.09734519994532448,0.19894294002399648,0.1160791579970536,2,2011,2011-02-01
2,0.4220426745378593,0.17590114315731548,0.2212021912599745,0.09406241922438736,0.08679157182046345,3,2011,2011-03-01
3,0.3514905783616578,0.3066191784873618,0.06487312522337108,0.20837903454395326,0.068638083383656,4,2011,2011-04-01
4,0.33181255495142403,0.2885950369842222,0.10551548263206932,0.19208612009045933,0.0819908053418252,5,2011,2011-05-01
5,0.3689589939187844,0.2390706615811161,0.17193220287057884,0.16307844308625524,0.056959698543265484,6,2011,2011-06-01
6,0.2652941826989965,0.30426763794106004,0.11880036672505252,0.26623596688058965,0.04540184575430136,7,2011,2011-07-01
7,0.3293465623061553,0.2474042348921951,0.139795705259483,0.1592152388789661,0.12423825866320044,8,2011,2011-08-01
8,0.3614267383259256,0.2201609410989583,0.13805388259110385,0.24495033354498144,0.03540810443903074,9,2011,2011-09-01
9,0.29095462302139985,0.3435983005606203,0.1106826153625642,0.15417192896105408,0.1005925320943616,10,2011,2011-10-01
10,0.2900060226024728,0.29173407651460576,0.13713426467172884,0.21083241813393794,0.07029321807725464,11,2011,2011-11-01
11,0.2867462575119498,0.2690549628962345,0.15752958967499742,0.22345492316360754,0.0632142667532107,12,2011,2011-12-01
12,0.2835082214009528,0.3138102224330788,0.12632590428836427,0.21826841638736075,0.05808723549024355,1,2012,2012-01-01
13,0.3140435145645549,0.3089773698346779,0.11927690075173082,0.1845194069774408,0.07318280787159576,2,2012,2012-02-01
14,0.3149470511426713,0.2844340138167469,0.14955679419259466,0.16431344803189024,0.08674869281609689,3,2012,2012-03-01
15,0.3001006692004815,0.24539366125734,0.1978596624033391,0.18052773791312487,0.0761182692257145,4,2012,2012-04-01
16,0.3081739738805969,0.2475017490671643,0.1679818680037314,0.19885727611940285,0.07748513292910446,5,2012,2012-05-01
