,Fear,Angry,Happy,Surprise,Sad
0,0.23865501876172615,0.09137546904315198,0.18371833958724204,0.37277204502814265,0.11347912757973734
1,0.3540152455238434,0.03679692050548282,0.17965406336262565,0.27892724187707346,0.15060652873097471
2,0.3101170819573702,0.13333619247759143,0.22601535360466612,0.1586825063258567,0.1718488656345156
3,0.2911497105045492,0.04792016862776489,0.1742042210304437,0.30739881000026686,0.17932708983697535
4,0.29745684720881693,0.09707975129626718,0.1515117505779893,0.24131893784651298,0.21263271307041368
5,0.2721815625337996,0.09281825720157191,0.19254064967372106,0.27877924793597,0.16368028265493742
6,0.24712252864878476,0.07825210930613274,0.16302732653318222,0.2618058179070646,0.24979221760483566
7,0.2255288633918968,0.08651846539978486,0.20197203298673355,0.2724632484761564,0.21351738974542847
8,0.379946390441143,0.05533596837944663,0.12364272409249923,0.30991322520557907,0.1311616918813321
9,0.4900984900984901,0.02725802725802726,0.13156513156513155,0.21972321972321973,0.13135513135513135
10,0.33415261287151166,0.05386447856008469,0.19458519246766992,0.2614951221356727,0.15590259396506087
11,0.32496513249651326,0.06577505479179117,0.15869695158398087,0.23281530185295873,0.21774755927475592
