,Fear,Surprise,Angry,Sad,Happy,month_index,year,date
0,0.14785714285714285,0.4857142857142857,0.08285714285714284,0.08642857142857141,0.1971428571428571,1,2012,2012-01-01
1,,,,,,2,2012,2012-02-01
2,0.36,0.29,0.07,0.07,0.21,1,2013,2013-01-01
3,,,,,,2,2013,2013-02-01
4,,,,,,3,2013,2013-03-01
5,0.125,0.0,0.875,0.0,0.0,4,2013,2013-04-01
6,,,,,,5,2013,2013-05-01
7,,,,,,6,2013,2013-06-01
8,,,,,,7,2013,2013-07-01
9,0.4199999999999999,0.14,0.05999999999999999,0.29999999999999993,0.07999999999999999,8,2013,2013-08-01
10,0.42625,0.07375000000000001,0.05125,0.40625,0.0425,1,2014,2014-01-01
11,,,,,,2,2014,2014-02-01
12,,,,,,3,2014,2014-03-01
13,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.32673267326732675,4,2014,2014-04-01
14,0.23459244532803186,0.3479125248508947,0.0437375745526839,0.2127236580516899,0.16103379721669986,5,2014,2014-05-01
15,0.14,0.14,0.0,0.29,0.43,6,2014,2014-06-01
16,,,,,,7,2014,2014-07-01
17,,,,,,8,2014,2014-08-01
18,,,,,,9,2014,2014-09-01
19,0.5,0.0,0.0,0.5,0.0,10,2014,2014-10-01
20,0.3394886363636363,0.3338068181818182,0.18607954545454544,0.11079545454545453,0.02982954545454545,1,2015,2015-01-01
21,0.3,0.37,0.0,0.11,0.22,2,2015,2015-02-01
22,0.15200000000000002,0.18600000000000003,0.048,0.526,0.08800000000000001,3,2015,2015-03-01
23,0.4246044559250888,0.16693574426864707,0.02131094607684857,0.27510494026477234,0.1120439134646432,4,2015,2015-04-01
24,0.535,0.265,0.0,0.2,0.0,5,2015,2015-05-01
25,0.3500000000000001,0.17700000000000005,0.021000000000000005,0.444,0.008000000000000002,6,2015,2015-06-01
26,0.24475,0.5085,0.02,0.19375,0.032999999999999995,7,2015,2015-07-01
27,0.3495183044315992,0.21078998073217728,0.0836223506743738,0.1953757225433526,0.16069364161849709,8,2015,2015-08-01
28,0.3916083916083916,0.3856143856143857,0.0,0.13086913086913088,0.09190809190809192,9,2015,2015-09-01
29,0.20293704108733013,0.4172785502265271,0.0607717544133729,0.2474613341665365,0.0715513201062334,10,2015,2015-10-01
30,0.32631359466221843,0.1665971643035863,0.042743953294412,0.21684737281067554,0.2474979149291076,11,2015,2015-11-01
31,0.5223363286264442,0.2355584082156611,0.02618741976893453,0.10038510911424904,0.11553273427471115,12,2015,2015-12-01
32,0.3067557375282837,0.31753043853033075,0.053119275940092664,0.19351362999676755,0.12908091800452534,1,2016,2016-01-01
33,0.3442882249560633,0.25395430579964845,0.060456942003514924,0.22970123022847094,0.11159929701230227,2,2016,2016-02-01
34,0.2664756446991404,0.2695385831439581,0.11510720284556862,0.24661594704080625,0.1022626222705266,3,2016,2016-03-01
35,0.19660051090587544,0.24552957359009636,0.09353507565337002,0.23511495382196895,0.2292198860286893,4,2016,2016-04-01
36,0.26702702702702696,0.3711711711711712,0.05018018018018018,0.18378378378378374,0.12783783783783784,5,2016,2016-05-01
37,0.4169607008151843,0.2705925295048059,0.037808735855943534,0.18323397006935147,0.09140406375471467,6,2016,2016-06-01
38,0.28923256183464857,0.35734336105079184,0.06826968910544992,0.19861236163338808,0.08654202637572164,7,2016,2016-07-01
39,0.2282331088925006,0.2645112607383329,0.1729161829579754,0.19410262363594147,0.14023682377524954,8,2016,2016-08-01
40,0.19604461308497176,0.17713004484304934,0.03409221570656548,0.3782913648384501,0.2144417615269633,9,2016,2016-09-01
41,0.3774307476277605,0.19003446661844176,0.06067826900982937,0.26624398961746304,0.10561252712650526,10,2016,2016-10-01
42,0.263515932688865,0.4201738111512547,0.02916381863750285,0.19978517722878625,0.08736126029359112,11,2016,2016-11-01
43,0.4472953914744551,0.2563577635230426,0.07274464310085982,0.12551749237978252,0.09808470952185976,12,2016,2016-12-01
44,0.19988453081430335,0.3822644244352451,0.03499699043079833,0.2728143771420149,0.1100396771776383,1,2017,2017-01-01
45,0.2997870000417648,0.2508944606089293,0.045356461694811424,0.1633695758098871,0.24059250184460754,2,2017,2017-02-01
46,0.36882310814036745,0.22247553115301988,0.06273573645261399,0.22974456910957264,0.11622105514442588,3,2017,2017-03-01
47,0.3150480054323068,0.2695610317944663,0.04493686662483561,0.2273575093904985,0.14309658675789272,4,2017,2017-04-01
48,0.1962357228567619,0.34241811475045564,0.09266254833118524,0.23913381627483224,0.129549797786765,5,2017,2017-05-01
49,0.29409738246439643,0.2328417193705435,0.06272465501439743,0.21148283684439728,0.19885340630626536,6,2017,2017-06-01
50,0.23593011891187485,0.23577401314003366,0.08627898137590269,0.20924960634196665,0.2327672802302221,7,2017,2017-07-01
51,0.2763662704907036,0.2756687146191614,0.0505638576628301,0.2507355637235174,0.14666559350378738,8,2017,2017-08-01
52,0.2406343357378551,0.2644869833140763,0.07137578199002803,0.23509144469079515,0.18841145426724545,9,2017,2017-09-01
53,0.2698833487292961,0.2684354121463404,0.038406840103976464,0.2228533373434445,0.2004210616769425,10,2017,2017-10-01
54,0.3217229348852799,0.2615253359334533,0.0436903927602913,0.1654034248453639,0.2076579115756116,11,2017,2017-11-01
55,0.2730028555754056,0.2441587306052976,0.06365612120018567,0.2292021269113365,0.18998016570777476,12,2017,2017-12-01
56,0.2825656326208089,0.28574542581163737,0.04731815642838659,0.2059045517091048,0.17846623343006232,1,2018,2018-01-01
57,0.2540473815811653,0.2916414985671744,0.03691282238579535,0.151749592627971,0.265648704837894,2,2018,2018-02-01
